FPS,LATENCY (MS)
34.4828,79
60.6061,76
47.619,76
30.7692,80
24.7525,72
22.9885,75
23.6486,77
24.0964,78
24.5902,77
25.0627,79
22.779,72
21.692,80
19.7628,77
21.322,83
22.8311,75
24.8139,80
22.7273,73
23.2019,77
23.0415,79
22.8833,73
25.3165,66
25.2525,79
27.248,74
27.3973,72
25.7069,72
25,74
27.6243,68
27.5482,77
24.8756,78
25,72
24.9377,78
22.4215,73
23.31,74
22.9885,74
22.8833,76
22.779,77
22.8311,76
22.6244,73
25.1889,74
23.2019,76
22.8311,75
25.0627,75
24.8139,73
23.0415,78
24.6305,77
22.9885,77
22.9358,75
23.0415,73
22.9885,77
22.8311,77
22.9358,76
22.9358,73
23.0947,79
22.6244,92
22.2717,80
24.7525,73
25.2525,80
22.7273,73
22.9885,77
22.9885,78
22.9358,75
23.0947,74
22.9358,75
23.2558,76
23.9234,77
23.1481,72
23.0415,80
22.9885,73
22.9358,74
25.0627,76
25,77
22.8833,76
22.8833,78
22.8311,78
22.8311,74
23.1481,74
22.8833,77
23.1481,76
22.8833,77
22.8833,76
22.9885,73
23.2019,76
22.9885,73
25.2525,77
23.0947,77
22.8311,76
22.8833,80
22.8311,77
21.322,77
19.9203,77
19.9203,77
21.1416,77
21.322,76
21.1864,78
21.322,77
21.3675,77
21.322,75
23.2558,79
22.8833,77
24.9377,78
22.9358,79
22.9358,77
22.9885,80
22.8311,75
23.0947,75
23.0947,77
22.9885,79
22.779,78
23.0415,79
22.8833,80
24.8139,79
24.8756,80
22.8311,77
23.1481,95
23.8095,81
24.57,80
22.8311,83
22.8311,77
23.0947,77
23.0947,80
22.9358,79
22.9358,77
23.1481,81
22.779,78
23.8663,80
23.0415,80
22.9885,81
23.0947,80
24.6914,80
24.7525,80
24.8756,80
24.9377,77
27.1739,78
27.3973,78
27.248,76
25.1889,79
27.248,77
27.4725,79
27.248,79
27.1739,81
27.248,76
27.4725,74
27.4725,79
27.1003,75
27.3224,76
29.8507,77
30.1205,80
29.5858,74
30.3951,75
30.303,76
30.303,76
29.8507,80
26.738,79
27.1003,76
24.8756,74
25.0627,73
25.1256,73
25.3165,77
22.8311,76
22.9358,76
22.9358,76
23.0415,73
23.3645,76
23.1481,74
25.0627,77
24.6914,77
24.6914,76
24.7525,76
27.248,76
24.8756,77
24.9377,77
24.8139,75
27.027,77
27.1739,88
26.178,79
27.027,77
27.1739,79
26.9542,77
24.8756,74
25.1256,76
24.8756,76
23.0415,79
22.779,70
21.692,77
20.3666,78
20,79
19.8413,77
20,77
21.322,78
22.7273,79
22.8833,79
22.8311,80
22.9358,78
24.4499,78
27.1003,78
24.8756,82
24.7525,80
24.7525,81
24.6914,79
24.8756,79
24.8756,78
27.248,81
24.8756,79
24.8139,79
22.9358,72
23.31,79
23.1481,83
22.8311,79
23.0947,72
21.692,73
21.645,77
21.4133,75
23.31,75
23.2019,79
24.9377,79
26.6667,74
27.5482,72
25.641,75
25.1889,76
26.8817,80
24.5098,80
24.7525,80
24.57,79
24.6914,80
22.9358,79
22.9885,80
21.097,80
21.0084,79
21.1416,80
19.7628,80
21.3675,80
21.3675,80
21.3675,80
21.322,95
20.6612,79
21.3675,76
21.5054,79
23.0415,78
21.4133,77
23.1481,79
21.4133,76
21.5054,77
20.0401,77
20.0401,78
22.2222,77
21.4592,77
21.322,77
21.4592,73
21.5983,78
21.322,79
22.9885,76
22.9358,76
25,79
24.7525,81
22.8311,76
23.0415,84
22.6244,77
22.9358,80
24.4499,80
24.8139,75
23.2019,73
21.5517,80
21.1864,73
20.1613,75
21.5983,80
21.1864,80
23.2019,72
21.5517,80
21.3675,80
19.9203,85
20.9205,83
22.4719,82
22.8311,74
22.9885,80
22.7273,80
22.9885,80
22.9885,77
22.8311,83
22.8311,81
24.8756,76
25.4453,80
25.1256,79
25.1256,80
26.738,80
24.9377,80
24.8756,81
24.8756,79
26.8817,80
27.3973,81
27.1739,79
26.8817,81
27.1003,76
27.3224,79
27.248,92
26.3158,80
27.248,73
25.4453,83
24.7525,75
25.2525,76
25.1889,80
24.9377,80
23.0415,71
23.2558,81
21.2766,77
23.8095,81
22.9358,77
24.6305,79
23.2019,76
21.2766,80
21.1864,80
19.9203,81
21.322,77
21.1416,77
23.2019,84
21.0526,76
21.5517,81
19.7628,78
21.4133,77
22.9358,77
23.1481,72
25.3807,79
25,78
24.8756,76
24.9377,80
27.4725,81
24.6305,83
27.027,86
26.5957,80
27.027,83
24.5098,79
24.5098,82
22.8311,83
22.7273,83
22.6757,83
22.8311,82
22.9358,84
22.9885,81
23.2558,83
22.8311,80
23.2019,76
23.0947,83
24.8756,78
25.1889,83
22.9885,80
23.1481,80
23.0947,80
23.2019,79
23.0947,80
23.1481,80
22.9885,76
23.0415,76
23.3645,77
21.4133,75
23.4192,88
22.5734,80
24.9377,76
25.1256,83
22.779,78
21.4592,80
21.322,79
21.2314,79
21.2314,82
21.1416,80
21.097,76
21.9298,76
20.0401,77
19.9203,80
21.5054,80
22.8833,76
25.1889,80
22.9358,77
23.0947,81
25,76
25.1889,78
22.8833,73
25.1256,77
22.9885,73
