  Time          enp3s0            wlp0s20f3     
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out
15:41:26      0.30      0.00      0.00      0.00
15:41:26      0.00      0.00      0.30      0.00
15:41:26      0.00      0.00      0.00      0.00
15:41:27      0.30      0.00      0.30      0.00
15:41:27      0.00      0.00      0.00      0.00
15:41:27      0.64      0.88      0.00      0.00
15:41:27      0.30      0.00      0.47      0.00
15:41:28      1.77      1.07      0.00      0.00
15:41:28      0.30      0.00      0.00      0.00
15:41:28      0.23      0.00      0.30      0.29
15:41:28      0.00      0.00      0.00      0.00
15:41:29      1.23      0.93      0.30      0.00
15:41:29      0.00      0.00      0.00      0.00
15:41:29      0.23      0.00      0.00      0.00
15:41:29      0.64      0.00      0.30      0.42
15:41:30   1234.05      8.17      0.00      0.00
15:41:30    825.18      0.61      0.00      0.00
15:41:30   1774.05      2.11      0.00      0.00
15:41:30   2324.81      0.30      0.00      0.00
15:41:31   1765.55      0.48      0.00      0.00
15:41:31   1164.12      0.30      0.00      0.00
15:41:31   1765.77      0.00      0.00      0.00
  Time          enp3s0            wlp0s20f3     
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out
15:41:31   1830.91      0.00      0.00      0.00
15:41:32   1444.64      0.00      0.30      0.00
15:41:32   1677.77      0.00      0.00      0.00
15:41:32   1766.54      0.48      1.29      1.12
15:41:32   1765.44      0.00      0.00      0.66
15:41:33   1766.33      0.00      0.00      0.00
15:41:33   1420.88      0.00      0.30      0.00
15:41:33   1765.65      0.67      1.16      1.95
15:41:33   1637.76      0.00      0.00      0.00
15:41:34   1379.95      0.18      0.30      0.00
15:41:34   1420.58      0.00      0.00      0.00
15:41:34   1574.08      0.33      0.30      1.38
15:41:34   1765.48      0.48      0.70      0.48
15:41:35   2128.16      0.16      0.00      0.00
15:41:35   2022.89      0.00      0.30      0.00
15:41:35   2023.11      0.00      0.00      0.00
15:41:35   1701.07      0.00      0.00      0.00
15:41:36   1292.21      0.00      0.30      0.00
15:41:36   1637.19      0.00      0.00      0.00
15:41:36   1637.87      0.00      0.30      0.00
15:41:36   1444.31      0.26      4.60      2.88
15:41:37   2002.14      1.83      0.00      2.74
  Time          enp3s0            wlp0s20f3     
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out
15:41:37   1702.79      0.00      0.00      1.37
15:41:37   1767.25      0.18      0.00      1.37
15:41:37   1456.95     13.30     15.97     13.56
15:41:38   1423.52      5.61      1.12      1.47
15:41:38   1639.27      1.84      0.00      0.00
15:41:38   1766.09      0.26      0.00      0.00
15:41:38   1316.04      0.67      0.61      0.66
15:41:39   2324.66      0.00      0.16      1.28
15:41:39   1831.02      0.00      0.30      0.00
15:41:39   1573.34      0.00      0.00      0.00
15:41:39   1443.94      0.00      0.00      0.00
15:41:40   1421.97      0.00      0.47      0.42
15:41:40   1766.20      0.00      0.00      0.00
15:41:40   1444.32      0.00      0.30      0.00
15:41:40   1549.50      0.58      0.00      0.24
15:41:41   2409.84      0.26      0.00      1.27
15:41:41   1637.52      0.00      0.30      0.00
15:41:41   1573.31      0.00      0.00      0.00
15:41:41   1292.00      0.00      0.00      0.00
