fps,latency(ms)
21.7391,80
1.73812,57
2.26501,53
2.78552,45
3.29489,49
3.76749,49
4.23057,56
4.65838,48
5.10986,48
5.14403,47
33.3333,48
30.2115,54
30.303,47
29.9401,54
29.2398,48
29.5858,47
30.03,51
30.4878,45
30.1205,48
29.9401,48
30.03,54
29.4118,48
30.03,45
30.6748,48
30.4878,54
29.9401,48
29.8507,48
30.303,47
29.8507,55
29.4118,51
29.2398,58
29.6736,48
30.3951,48
29.7619,54
29.4118,48
30.2115,48
30.2115,47
29.9401,54
29.4118,49
30.303,48
30.6748,49
30.8642,55
29.4118,47
29.5858,48
30.581,48
30.303,48
29.8507,55
29.3255,48
30.3951,51
30.03,48
30.03,49
29.9401,54
30.03,48
30.1205,49
29.9401,48
30.03,48
30.03,54
30.03,48
29.9401,48
30.2115,51
29.6736,51
29.6736,54
29.5858,47
30.303,48
30.1205,49
29.8507,55
29.1545,49
30.2115,48
30.2115,48
30.03,54
29.6736,49
30.03,49
30.8642,48
29.9401,52
29.4985,51
29.4118,44
31.25,48
30.3951,47
30.03,48
29.8507,51
30.03,47
30.3951,48
30.1205,48
30.03,48
30.303,55
29.6736,49
29.4985,50
29.8507,49
29.8507,45
30.303,52
30.03,52
29.5858,49
29.8507,50
29.8507,52
29.5858,55
30.03,48
30.2115,52
29.6736,49
29.9401,49
29.6736,54
29.6736,49
30.2115,47
30.1205,48
30.1205,48
30.3951,54
30.1205,48
29.9401,48
30.4878,51
29.8507,48
29.9401,54
30.2115,48
30.1205,48
30.03,48
29.9401,54
29.5858,48
30.6748,51
29.7619,57
29.1545,48
30.303,49
29.9401,54
29.8507,53
29.5858,48
30.03,48
30.03,57
29.6736,48
29.9401,49
30.1205,52
30.3951,54
29.4118,47
30.03,47
30.9598,48
30.4878,55
29.2398,48
29.7619,58
30.03,47
30.2115,54
29.4985,48
30.2115,48
30.6748,47
30.2115,51
29.4985,53
30.03,52
29.9401,54
30.303,47
29.8507,55
29.7619,48
30.2115,54
29.3255,48
29.9401,55
29.6736,48
30.581,55
30.1205,47
30.303,47
30.581,55
29.5858,44
30.4878,45
30.303,51
30.303,44
30.303,45
30.8642,53
29.4985,44
30.8642,45
30.2115,45
30.2115,55
29.8507,48
30.1205,48
29.7619,47
30.3951,55
29.1545,48
29.7619,48
30.8642,48
29.7619,55
29.1545,47
29.5858,48
30.6748,48
30.2115,54
29.3255,48
29.7619,48
30.581,48
30.1205,55
29.3255,47
29.7619,48
30.6748,52
29.8507,49
30.03,54
29.4118,51
30.303,51
29.7619,52
29.6736,58
28.9017,48
30.581,48
30.2115,52
29.5858,65
28.9017,48
29.9401,51
30.303,48
30.303,48
30.3951,58
29.4118,49
30.9598,48
30.1205,51
29.6736,49
30.3951,54
30.8642,52
29.6736,49
30.2115,48
29.9401,51
29.6736,56
30.2115,45
30.1205,51
29.6736,49
30.303,48
30.03,54
29.7619,50
30.2115,49
29.9401,48
30.03,46
30.2115,54
29.7619,52
29.7619,48
30.2115,48
29.9401,49
29.5858,54
29.6736,48
30.1205,48
30.1205,44
30.303,48
29.7619,58
29.5858,48
30.303,50
29.8507,55
28.5714,46
29.9401,53
30.581,52
29.5858,50
29.4118,57
28.2486,56
29.4985,60
30.1205,54
29.3255,56
29.1545,53
30.303,55
30.1205,54
29.9401,49
31.25,45
30.9598,55
30.4878,49
30.4878,55
30.1205,49
30.4878,55
29.9401,55
29.8507,54
29.4118,52
30.03,58
29.3255,52
29.4118,52
30.303,56
29.2398,49
30.6748,50
30.4878,52
30.2115,59
29.6736,48
30.8642,47
30.6748,47
31.0559,52
29.7619,44
30.6748,44
31.348,54
29.6736,44
30.581,41
30.8642,45
31.1526,41
30.581,48
29.8507,46
30.1205,42
30.9598,45
29.8507,45
29.8507,51
30.2115,44
29.9401,45
29.5858,45
29.9401,48
29.4985,55
29.4118,46
30.03,49
29.3255,49
28.8184,48
29.6736,54
29.7619,48
29.6736,48
29.6736,48
29.6736,49
29.9401,54
29.9401,48
29.7619,48
30.1205,48
30.8642,48
30.03,54
29.9401,48
30.03,48
30.03,48
30.03,48
30.03,54
30.03,49
30.03,48
30.03,48
30.03,48
30.03,54
29.9401,48
29.9401,49
30.03,51
29.7619,48
29.9401,55
30.03,48
29.9401,48
29.9401,48
30.1205,47
30.03,54
30.1205,48
30.03,48
30.03,48
30.303,58
29.1545,51
30.303,52
29.3255,52
29.8507,58
29.1545,49
29.8507,48
30.581,51
29.3255,52
29.8507,58
29.2398,51
30.581,51
30.03,52
30.2115,48
30.303,55
30.303,48
30.1205,55
29.4118,48
30.581,44
30.6748,48
30.9598,54
29.7619,44
30.581,48
30.581,45
30.3951,45
30.9598,57
28.9017,48
30.581,47
30.1205,51
29.4985,48
29.9401,54
29.6736,48
29.5858,50
29.7619,48
29.6736,48
29.6736,55
30.4878,47
30.03,51
29.6736,48
30.303,54
29.2398,48
30.7692,48
30.1205,55
29.5858,48
30.03,48
29.7619,56
29.8507,48
29.9401,49
30.303,55
29.3255,52
30.2115,48
30.03,55
29.4118,48
30.6748,51
29.4985,55
29.5858,51
30.4878,48
30.03,47
30.03,55
29.7619,48
30.4878,47
30.1205,58
29.6736,49
29.8507,47
30.303,61
29.4118,48
30.303,50
29.7619,57
29.1545,47
29.4118,53
30.3951,46
30.2115,51
29.9401,48
31.348,48
29.7619,60
29.0698,48
30.8642,47
30.2115,54
29.5858,55
29.8507,48
29.9401,50
29.6736,45
30.581,44
30.303,57
29.3255,45
31.25,47
30.03,48
29.9401,48
30.1205,50
29.7619,48
30.6748,45
30.4878,44
29.9401,47
29.3255,52
29.8507,44
30.303,47
29.9401,45
30.303,44
30.3951,54
29.7619,48
28.49,44
30.03,44
30.1205,48
29.9401,53
29.8507,48
29.6736,45
30.303,47
29.7619,54
29.1545,54
29.8507,47
31.6456,47
29.6736,48
29.6736,47
30.1205,54
29.8507,48
30.03,43
30.03,44
30.2115,48
30.4878,53
29.9401,47
30.03,48
29.9401,46
30.03,47
29.9401,54
29.9401,47
29.9401,47
29.6736,45
30.03,48
30.03,51
30.2115,47
29.9401,46
30.2115,47
30.03,46
30.1205,52
30.1205,48
30.03,47
30.03,47
29.6736,48
29.9401,53
29.7619,47
30.03,47
29.8507,47
29.8507,48
29.7619,55
29.8507,48
30.03,45
30.2115,47
30.03,47
30.03,50
30.303,47
29.9401,47
30.03,47
30.03,48
30.1205,54
30.1205,44
30.303,44
30.03,47
30.03,47
30.03,54
29.8507,48
30.03,47
30.03,48
30.03,51
29.7619,53
30.03,44
29.9401,45
30.03,47
30.03,58
29.1545,54
30.1205,46
30.1205,47
30.03,47
30.1205,43
30.6748,54
30.03,47
29.8507,47
29.7619,47
30.03,46
30.9598,53
29.9401,46
29.9401,46
29.9401,46
29.9401,47
29.5858,53
30.03,43
30.2115,47
30.03,46
30.03,50
29.7619,53
30.03,46
29.9401,46
30.1205,43
30.303,43
30.3951,52
30.1205,47
29.7619,48
29.8507,51
29.5858,48
30.2115,54
29.8507,48
29.9401,49
29.6736,50
29.3255,49
29.4985,54
29.8507,47
29.9401,48
30.03,48
30.303,49
29.9401,56
30.03,48
30.03,48
30.1205,48
30.303,55
29.6736,48
30.7692,55
29.1545,52
29.6736,58
28.7356,51
29.6736,52
30.9598,58
28.9855,51
