      enp3s0            wlp0s20f3     
 KB/s in  KB/s out   KB/s in  KB/s out
    0.00      0.00      0.08      0.06
    0.00      0.00   1342.97     15.61
    0.00      0.00   1646.30      2.39
    0.00      0.00   1711.86      2.58
    0.00      0.00   1614.34      2.15
    0.00      0.00   1631.60      2.95
    0.00      0.00   1663.03      2.21
    0.00      0.00   1657.92      0.11
    0.00      0.00   1601.70      0.33
    0.00      0.00   1682.28      0.19
    0.00      0.00   1625.28      0.17
    0.00      0.00   1848.59      1.71
    0.00      0.00   1682.37      0.17
    0.00      0.00   1736.30      0.33
    0.00      0.00   1616.21      0.16
    0.00      0.00   1439.96      0.27
    0.00      0.00   1618.49      2.92
    0.00      0.00   1559.21      0.14
    0.00      0.00   1622.20      0.00
    0.00      0.00   1737.03      0.18
    0.00      0.00   1591.59      0.17
    0.00      0.00   1661.71      0.12
      enp3s0            wlp0s20f3     
 KB/s in  KB/s out   KB/s in  KB/s out
    0.00      0.00   1565.52      0.65
    0.00      0.00   1676.68      0.83
    0.00      0.00   1729.32      0.41
    0.00      0.00   1542.99      0.07
    0.00      0.00    710.98      0.10
    0.00      0.00    498.84      3.82
    0.00      0.00    125.04      1.09
