      enp3s0            wlp0s20f3     
 KB/s in  KB/s out   KB/s in  KB/s out
 2008.34      9.90      0.95      0.58
 2318.08      1.03      0.15      0.00
 1962.96      0.12      0.19      0.00
 2058.22      0.05      0.27      0.00
 2138.64      0.05      0.35      0.07
 2106.43      0.24      0.23      0.00
 2140.52      1.65      0.54      0.26
 2253.44      0.23      0.55      0.00
 2011.62      0.15      0.23      0.00
 2283.32      0.05      0.30      0.00
 2174.03      0.10      1.88      0.00
 2498.64      0.22      3.39      0.00
 1802.62      0.00      0.15      0.00
 2124.00      0.16      1.91      0.00
 2235.15      0.05      0.32      0.00
 2186.66      0.12      0.23      0.00
 2331.70      0.05      0.19      0.00
 1962.61      0.20      0.35      0.00
 2044.02      0.10      0.29      0.00
 2076.10      0.16      0.23      0.00
 2090.22      0.00      0.27      0.00
 2353.71      0.15      0.27      0.00
 2170.83      0.38      0.33      0.07
 2031.86      6.92      1.13      0.43
 2025.75      0.16      0.23      0.00
 2090.21      0.00      0.15      0.00
 2267.04      0.16      0.30      0.00
 2363.72      0.15      0.23      0.00
 1930.04      0.24      0.89      0.00
 2123.68      0.34      0.23      0.00
 1895.81      1.38      0.23      0.00
