fps,latency(ms)
40,59
1.78571,58
2.35294,51
2.89519,39
3.43249,52
3.9019,42
4.40044,39
4.87013,45
5.29661,42
5.28262,46
36.1011,45
32.4675,51
30.4878,42
30.3951,44
29.4118,49
30.2115,43
29.8507,48
29.0698,42
30.1205,42
30.03,38
30.581,45
30.03,42
30.6748,42
30.3951,49
29.6736,45
30.3951,44
29.7619,51
29.8507,45
29.9401,42
29.9401,42
29.4985,48
29.6736,47
29.6736,42
30.03,42
30.6748,39
30.4878,39
30.581,45
30.4878,40
30.3951,39
30.303,42
30.2115,49
29.9401,42
30.4878,42
29.9401,53
29.0698,42
29.6736,52
28.9855,42
30.303,48
29.2398,45
29.3255,42
30.03,48
30.03,46
29.7619,38
30.2115,39
30.8642,55
28.9017,42
30.8642,42
29.9401,46
29.9401,42
30.3951,48
29.4118,46
30.2115,42
30.2115,42
29.4118,45
29.7619,48
30.581,41
30.03,46
29.5858,40
30.581,44
29.7619,51
29.7619,44
29.7619,53
28.9017,41
30.4878,40
30.3951,47
30.1205,41
29.8507,40
30.3951,41
30.1205,41
30.3951,47
30.303,41
30.581,44
31.0559,41
29.9401,41
29.9401,47
29.9401,41
29.8507,41
30.1205,41
30.03,41
29.8507,47
30.03,43
29.8507,42
30.1205,42
29.9401,50
29.1545,48
29.6736,42
30.2115,42
29.9401,48
29.3255,39
30.03,39
30.4878,45
29.8507,40
30.2115,39
30.303,38
30.9598,45
30.2115,40
30.2115,38
30.303,39
30.8642,48
29.2398,42
29.6736,42
30.303,42
29.8507,48
29.1545,42
29.4985,42
30.6748,49
29.1545,42
29.6736,42
29.5858,48
29.7619,43
30.1205,46
29.6736,42
29.9401,48
29.7619,47
29.4118,43
29.8507,44
30.4878,51
29.0698,43
29.8507,43
30.7692,45
29.8507,42
30.303,56
28.8184,46
30.03,40
31.0559,42
30.1205,44
29.8507,49
30.2115,46
29.6736,46
29.7619,42
30.303,42
30.03,48
30.581,42
30.581,42
29.9401,45
29.6736,45
30.03,52
29.6736,45
30.303,52
29.4118,42
29.9401,51
29.0698,46
30.03,52
29.2398,46
29.5858,50
29.5858,45
29.7619,56
29.7619,42
30.2115,50
30.2115,47
29.4118,48
30.303,42
30.581,49
30.3951,42
30.1205,49
29.8507,43
30.4878,46
30.9598,39
30.303,45
30.3951,39
30.7692,46
30.2115,38
30.303,39
30.8642,45
29.9401,42
30.7692,39
30.303,46
30.03,46
29.1545,44
30.1205,53
28.9017,48
29.7619,42
29.6736,46
29.1545,49
29.5858,52
29.1545,47
29.3255,46
29.9401,42
30.303,45
29.6736,42
31.0559,42
30.581,46
29.6736,46
30.2115,39
30.6748,39
31.25,42
30.3951,46
29.9401,40
30.3951,42
30.4878,39
30.2115,46
29.6736,42
30.1205,40
30.581,45
29.7619,42
29.6736,39
29.9401,50
29.4985,42
29.8507,39
30.303,39
30.03,50
29.5858,40
30.1205,40
29.9401,48
29.5858,43
29.5858,44
29.6736,49
30.2115,43
29.8507,44
29.5858,42
29.4985,49
29.8507,42
30.1205,42
29.7619,42
30.6748,43
30.1205,48
29.4985,40
30.8642,43
30.2115,42
30.1205,42
29.9401,49
30.03,43
29.8507,39
30.303,43
29.9401,52
29.1545,46
30.303,39
30.1205,49
29.3255,39
30.2115,43
29.8507,49
29.7619,42
30.1205,43
29.6736,45
29.7619,39
31.1526,41
30.303,42
29.6736,49
30.03,43
29.7619,42
30.1205,43
30.8642,42
30.03,49
29.4118,43
30.2115,43
29.7619,42
30.03,49
29.3255,42
30.581,42
30.03,43
29.9401,49
29.4118,42
29.9401,43
30.581,43
30.03,49
29.6736,42
