fps,latency(ms)
0,65
41.6667,42
58.8235,32
75,31
71.4286,40
60.241,32
66.6667,32
65.4206,31
65.0406,32
64.2857,28
65.3595,34
65.7895,29
65.3595,28
61.3497,27
61.3497,28
64.9351,28
61.3497,28
61.3497,27
61.3497,28
61.3497,28
59.8802,27
62.5,28
60.241,28
59.8802,27
59.5238,28
60.241,28
59.8802,32
58.4795,27
60.241,28
59.8802,27
60.241,27
60.241,28
59.8802,27
60.241,27
60.6061,28
59.8802,32
58.4795,27
62.1118,28
59.5238,28
60.241,28
59.8802,28
59.5238,27
60.241,28
59.8802,27
59.8802,27
60.241,28
61.7284,27
59.5238,27
60.241,28
59.8802,28
59.8802,28
59.8802,28
59.8802,28
59.8802,27
59.8802,28
59.8802,33
58.1395,27
59.8802,29
59.5238,28
59.8802,28
59.8802,28
60.241,28
59.8802,27
60.241,28
59.8802,28
59.8802,27
62.1118,28
60.241,28
60.241,27
60.241,28
60.241,27
60.241,27
60.241,28
59.8802,28
59.8802,28
59.8802,28
59.8802,28
59.8802,27
60.241,28
59.8802,28
59.8802,27
59.8802,28
59.8802,28
59.8802,27
59.8802,28
60.241,33
58.1395,28
59.8802,28
59.8802,33
58.1395,28
59.8802,28
59.8802,28
59.8802,29
59.8802,28
60.241,28
59.8802,27
62.1118,28
60.241,28
59.8802,27
62.1118,28
60.241,28
59.8802,27
60.241,28
60.241,28
59.8802,28
60.241,28
59.8802,27
59.8802,27
60.241,28
59.8802,28
59.8802,27
60.241,28
59.8802,28
59.8802,27
59.8802,31
58.8235,28
59.8802,27
60.241,28
59.8802,28
59.8802,27
59.8802,28
59.8802,28
59.8802,27
60.241,28
60.241,28
60.9756,28
59.8802,28
59.8802,28
59.8802,35
57.4713,33
58.4795,28
59.8802,27
60.241,31
58.8235,28
59.8802,28
59.8802,29
59.8802,28
59.8802,27
60.241,28
62.8931,33
59.8802,27
60.241,28
59.5238,28
60.9756,28
59.8802,28
60.241,33
58.4795,28
59.8802,29
59.5238,29
59.5238,28
61.7284,29
59.5238,28
59.8802,27
60.241,31
59.1716,31
58.8235,28
61.7284,31
59.1716,28
60.241,27
60.6061,28
60.241,28
60.241,27
60.241,28
59.8802,28
60.9756,27
61.3497,28
60.241,27
60.9756,27
59.8802,28
59.8802,28
59.8802,28
59.8802,28
60.241,28
59.8802,28
59.8802,28
59.8802,27
59.8802,28
59.8802,28
60.241,28
59.8802,33
58.1395,28
60.241,28
59.5238,28
59.8802,29
59.8802,28
59.8802,31
58.8235,31
59.1716,28
59.8802,27
59.8802,27
62.5,26
60.6061,26
60.9756,27
60.6061,26
60.9756,26
60.241,27
61.7284,26
61.3497,27
60.241,31
59.1716,27
59.8802,26
59.8802,27
59.8802,26
60.241,29
58.4795,28
59.8802,28
59.5238,30
58.8235,28
59.8802,28
60.9756,31
58.4795,31
58.1395,32
58.1395,27
59.1716,34
58.8235,28
59.8802,28
59.8802,29
60.6061,28
59.5238,28
59.8802,29
60.9756,31
60.241,31
60.241,31
59.1716,31
60.9756,31
58.8235,32
58.8235,31
58.8235,27
60.6061,27
60.241,28
60.241,28
60.9756,29
60.9756,28
60.9756,28
60.9756,28
60.9756,28
61.3497,36
58.4795,31
58.4795,31
58.8235,28
59.8802,29
59.8802,28
59.8802,27
59.8802,29
59.8802,28
60.241,28
59.8802,28
62.8931,28
61.3497,35
58.4795,29
59.8802,28
60.241,28
60.241,28
60.241,28
60.241,33
58.1395,28
60.241,28
60.241,28
59.8802,27
62.8931,31
59.1716,27
60.241,29
59.8802,28
59.8802,28
59.8802,27
62.1118,28
59.8802,26
60.241,27
60.6061,26
60.6061,29
60.6061,28
59.5238,28
60.241,28
59.8802,27
60.6061,27
60.241,26
60.6061,27
60.241,26
59.8802,30
58.4795,27
60.9756,27
60.6061,26
60.241,27
60.241,27
59.8802,27
59.8802,27
59.8802,30
58.8235,29
59.1716,26
61.3497,27
59.8802,26
60.241,27
60.241,27
60.241,26
60.241,26
60.241,26
60.241,26
61.3497,26
60.9756,27
59.8802,26
60.241,26
59.8802,30
58.8235,30
58.8235,26
59.8802,27
59.8802,26
59.8802,26
59.8802,26
60.241,26
60.241,26
59.8802,30
58.8235,29
60.241,29
60.241,30
58.8235,29
59.1716,29
58.8235,29
58.8235,26
59.8802,26
59.8802,27
59.8802,26
61.3497,29
59.8802,30
59.8802,29
60.241,27
60.6061,26
61.3497,26
61.3497,27
59.5238,26
60.241,29
59.1716,29
58.8235,26
61.3497,26
61.3497,26
60.9756,26
60.6061,26
59.8802,30
58.8235,29
59.5238,29
58.8235,27
60.9756,26
60.9756,26
59.8802,27
59.8802,26
60.241,26
59.5238,26
59.8802,26
61.3497,26
60.9756,26
60.9756,27
59.8802,26
60.241,26
59.8802,26
60.241,26
59.5238,26
59.8802,26
60.241,26
59.8802,26
59.8802,26
60.241,27
59.8802,29
58.8235,30
58.8235,26
59.5238,26
60.241,27
60.241,27
59.5238,26
59.8802,27
59.8802,34
