  Time          enp3s0            wlp0s20f3     
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out
16:27:59   2197.15      1.83      0.28      0.00
16:27:59   2667.55      3.65      0.00      0.00
16:27:59   1807.71      3.35      0.30      0.00
16:28:00   2686.92      0.61      0.66      0.00
16:28:00   2731.24      0.48      0.97      0.00
16:28:00   2280.54      0.00      0.66      0.00
16:28:00   2280.56      0.18      0.30      0.00
16:28:01   2370.26      0.00      3.13      0.00
16:28:01   2281.95      0.00      0.66      0.29
16:28:01   2280.27      0.18      0.97      0.00
16:28:01   2281.63      1.19      1.88      1.05
16:28:02   2348.60      4.20      0.66      0.42
16:28:02   2603.02      0.77      0.30      0.00
16:28:02   2280.49      0.66      0.61      0.00
16:28:02   2478.27      0.00      1.57      0.00
16:28:03   2281.15      0.00      0.30      0.00
16:28:03   2409.78      0.18      0.36      0.00
16:28:03   2668.31      0.00      0.61      0.00
16:28:03   2732.13      0.00      2.12      0.00
16:28:04   2474.02      1.20      0.61      0.00
16:28:04   2540.10      0.16      0.30      0.00
16:28:04   2411.03      0.00      0.00      0.00
16:28:04   2475.13      0.00      0.00      0.00
16:28:05   2408.78      0.58      0.00      0.00
16:28:05   2730.43      0.00      0.00      0.00
16:28:05   2602.68      0.00      0.97      0.00
16:28:05   2473.32      0.18      0.30      0.00
16:28:06   2409.49      0.00      0.61      0.00
16:28:06   2795.79      0.00      0.30      0.00
16:28:06   2409.92      0.18      0.61      0.00
16:28:06   2345.82      0.00      0.30      0.00
16:28:07   2667.31      0.40      0.30      0.00
16:28:07   2731.43      0.00      0.30      0.00
16:28:07   2472.95      0.18      0.61      0.00
16:28:07   2602.80      0.00      0.30      0.00
16:28:08   2732.62      1.34      0.30      0.00
16:28:08   2603.40      0.44      0.30      0.00
16:28:08   2346.57      0.00      1.87      0.00
16:28:08   2410.23      0.40      0.77      0.00
16:28:09   2280.18      0.18      0.30      0.00
16:28:09   2667.52      0.00      1.87      0.00
16:28:09   2412.31      0.00      3.19      0.00
16:28:09   2538.02      0.51      0.97      0.00
16:28:10   2603.01      0.52      0.00      0.00
16:28:10   2797.69      0.40      0.00      0.00
16:28:10   2563.01      0.00      0.00      0.00
16:28:10   2667.91      0.18      0.66      0.00
16:28:11   2539.39      0.00      1.87      0.00
16:28:11   2538.02      0.00      0.66      0.00
16:28:11   2539.52      0.18      1.49      0.00
16:28:11   2672.76      0.40      0.30      0.00
16:28:12   2471.12      0.00      0.94      0.00
16:28:12   2861.76      0.00      4.10      0.00
16:28:12   2538.18      0.18      0.97      0.00
16:28:12   2732.28      0.00      1.13      0.00
16:28:13   2411.10      0.30      0.66      0.00
16:28:13   2668.35      0.18      2.50      0.00
16:28:13   2410.28      0.00      0.66      0.00
16:28:13   2476.25      0.76      2.04      0.00
16:28:14   2677.70     18.82      1.86      0.98
16:28:14   2543.51      1.61      1.02      0.00
16:28:14   2344.78      0.00      0.30      0.00
16:28:14   2413.04      0.00      1.57      0.00
16:28:15   2410.56      0.18      3.49      0.00
16:28:15   2349.63      2.52      0.66      0.00
16:28:15   2280.44      0.00      0.97      0.00
16:28:15   2603.54      1.17      1.93      0.00
16:28:16   2605.62      0.34      2.59      0.00
16:28:16   2860.86      0.64      0.30      0.00
16:28:16   2346.02      0.18      1.87      0.00
16:28:16   2281.22      0.00      0.66      0.00
16:28:17   2345.49      0.00      1.02      0.00
16:28:17   2538.87      0.00      0.61      0.00
16:28:17   2670.67      0.58      1.92      0.00
16:28:17   2282.05      0.00      2.23      0.29
16:28:18   2281.54      0.00      1.02      0.42
16:28:18   2474.19      0.85      0.61      0.00
16:28:18   2285.08      0.26      1.93      0.00
16:28:18   2411.50      0.00      2.59      0.00
16:28:19   2345.21      0.18      0.30      0.00
16:28:19   2473.97      0.00      0.47      0.00
16:28:19   2667.02      0.40      1.33      0.00
16:28:19   2409.51      0.41      0.30      0.00
16:28:20   2537.85      0.74      0.61      0.00
16:28:20   2732.16      0.00      0.47      0.00
16:28:20   2473.15      0.00      0.61      0.00
16:28:20   2473.38      0.18      0.30      0.00
16:28:21   2496.92      0.00      0.61      0.00
16:28:21   2602.95      0.00      0.77      0.00
16:28:21   2602.91      0.66      0.30      0.00
16:28:21   2409.04      0.51      0.61      0.00
16:28:22   2473.28      0.34      0.30      0.00
16:28:22   3053.06      0.00      1.87      0.00
16:28:22   2602.73      0.18      0.30      0.00
16:28:22   2473.96      0.00      0.97      0.00
16:28:23   2344.55      0.00      0.30      0.00
16:28:23   2991.83      0.18      3.14      0.00
16:28:23   3117.34      0.21      1.02      0.00
16:28:23   3181.73      0.48      0.30      0.00
16:28:24   3181.01      0.18      0.61      0.00
16:28:24   2862.64      0.00      1.93      0.00
16:28:24   2281.07      0.00      0.97      0.00
16:28:24   2281.56      0.00      0.30      0.00
16:28:25   2540.18      0.18      2.23      0.00
16:28:25   2345.76      0.00      0.30      0.00
16:28:25   2347.86      0.40      0.61      0.00
16:28:25   2282.49      0.59      0.30      0.00
16:28:26   2540.62      0.26      0.94      0.00
16:28:26   2732.63      0.67      0.61      0.00
16:28:26   2409.83      0.18      0.00      0.00
16:28:26   2797.16      0.00      0.30      0.00
16:28:27   2538.62      0.00      1.26      0.00
16:28:27   2410.01      0.00      0.61      0.00
16:28:27   2539.89      0.66      0.30      0.00
16:28:27   2345.84      0.51      1.93      0.00
16:28:28   2796.48      0.34      0.00      0.00
16:28:28   2924.31      0.18      0.30      0.00
16:28:28   2415.10      0.67      1.57      0.00
16:28:28   2539.50      0.26      1.57      0.00
16:28:29   2538.51      0.61      1.43      0.41
16:28:29   2473.23      0.00      0.30      0.00
16:28:29   2668.09      0.00      2.23      0.00
16:28:29   2795.45      0.00      0.66      0.00
16:28:30   2537.35      0.66      0.61      0.00
16:28:30   2924.80      0.00      1.87      0.00
16:28:30   2731.47      0.00      0.36      0.00
16:28:30   2730.97      0.18      0.30      0.00
16:28:31   2860.63      0.00      0.30      0.00
16:28:31   2540.83      0.00      2.83      0.00
16:28:31   2537.95      0.18      0.36      0.00
16:28:31   2347.20      0.41      0.97      0.00
16:28:32   2861.19      1.24      0.76      0.66
16:28:32   2733.77      0.00      1.93      0.66
16:28:32   2859.28      0.49      0.00      0.00
16:28:32   2369.29      0.00      0.00      0.00
16:28:33   2281.06      0.59      0.30      0.00
16:28:33   2282.02      0.18      0.66      0.00
16:28:33   2345.25      0.00      0.61      0.00
16:28:33   2280.37      0.51      0.30      0.00
16:28:34   2281.54      0.95      1.23      0.00
16:28:34   2666.34      0.48      0.91      0.41
16:28:34   2538.26      0.00      0.30      0.00
16:28:34   2284.64      4.82      1.88      1.05
16:28:35   2281.07      0.00      0.30      0.29
16:28:35   2794.79      0.00      0.61      0.00
16:28:35   2796.07      0.00      0.30      0.00
16:28:35   2537.35      0.18      0.61      0.00
16:28:36   2346.81      0.00      1.57      0.00
16:28:36   2408.83      0.00      0.61      0.00
16:28:36   2281.91      0.58      0.66      0.00
16:28:36   2280.24      0.00      0.61      0.00
16:28:37   2348.14      0.00      2.83      0.00
16:28:37   3181.67      0.00      0.97      0.00
16:28:37   3311.04      0.18      0.66      0.00
16:28:37   3117.55      0.00      0.30      0.00
16:28:38   2861.78      0.00      2.23      0.00
16:28:38   2667.86      4.34      1.94      1.05
16:28:38   2284.10      1.70      0.61      0.00
16:28:38   2283.14      0.66      1.52      0.00
16:28:39   2346.59      0.49      0.66      0.00
16:28:39   2410.26      0.00      0.97      0.00
16:28:39   2540.52      0.00      1.57      0.00
16:28:39   2283.49      1.03      3.13      0.00
16:28:40   2475.47      0.16      1.02      0.00
16:28:40   2794.60      0.00      0.97      0.00
16:28:40   2669.75      0.48      1.57      0.00
16:28:40   2475.08      0.18      2.95      0.00
16:28:41   2408.96      0.35      0.30      0.00
16:28:41   2602.45      0.00      0.97      0.00
16:28:41   2282.45      0.18      1.57      0.00
16:28:41   2344.80      0.00      1.33      0.00
16:28:42   2990.13      0.21      0.30      0.00
16:28:42   3310.31      0.18      1.57      0.00
16:28:42   3271.34      0.48      3.49      0.00
16:28:42   2836.00      0.00      1.02      0.00
16:28:43   2819.55      0.00      0.61      0.00
16:28:43   2283.04      0.18      2.23      0.00
16:28:43   2280.64      0.40      2.28      0.00
